Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-04-30 09:15:00+05:30,1185.5999755859375,1193.800048828125,1182.0999755859375,1191.4000244140625,0,0.0,0.0
2025-04-30 09:20:00+05:30,1192.300048828125,1192.300048828125,1184.0,1185.5999755859375,86053,0.0,0.0
2025-04-30 09:25:00+05:30,1185.9000244140625,1187.5,1184.0999755859375,1187.0,35126,0.0,0.0
2025-04-30 09:30:00+05:30,1186.9000244140625,1188.0,1185.0,1185.0,109892,0.0,0.0
2025-04-30 09:35:00+05:30,1184.5,1184.5,1180.699951171875,1183.0,137810,0.0,0.0
2025-04-30 09:40:00+05:30,1183.0,1184.5,1178.800048828125,1181.0,100516,0.0,0.0
2025-04-30 09:45:00+05:30,1181.699951171875,1184.699951171875,1179.9000244140625,1184.0999755859375,83036,0.0,0.0
2025-04-30 09:50:00+05:30,1184.199951171875,1186.0,1182.9000244140625,1184.4000244140625,53725,0.0,0.0
2025-04-30 09:55:00+05:30,1184.4000244140625,1184.5999755859375,1181.199951171875,1183.199951171875,73982,0.0,0.0
2025-04-30 10:00:00+05:30,1183.199951171875,1183.9000244140625,1181.0999755859375,1182.5,54202,0.0,0.0
2025-04-30 10:05:00+05:30,1182.5999755859375,1185.4000244140625,1182.5999755859375,1184.9000244140625,29171,0.0,0.0
2025-04-30 10:10:00+05:30,1185.0,1185.4000244140625,1183.0,1183.9000244140625,22558,0.0,0.0
2025-04-30 10:15:00+05:30,1184.0,1184.5,1183.0999755859375,1183.5,16747,0.0,0.0
2025-04-30 10:20:00+05:30,1183.5999755859375,1185.4000244140625,1182.699951171875,1185.199951171875,21178,0.0,0.0
2025-04-30 10:25:00+05:30,1185.300048828125,1185.5,1182.300048828125,1182.5,32358,0.0,0.0
2025-04-30 10:30:00+05:30,1182.699951171875,1182.9000244140625,1180.199951171875,1180.300048828125,36214,0.0,0.0
2025-04-30 10:35:00+05:30,1180.4000244140625,1181.0,1178.0999755859375,1180.9000244140625,33937,0.0,0.0
2025-04-30 10:40:00+05:30,1180.800048828125,1182.800048828125,1180.199951171875,1182.5999755859375,22115,0.0,0.0
2025-04-30 10:45:00+05:30,1182.800048828125,1184.199951171875,1182.4000244140625,1184.199951171875,15282,0.0,0.0
2025-04-30 10:50:00+05:30,1184.300048828125,1185.5,1184.0,1184.0999755859375,32130,0.0,0.0
2025-04-30 10:55:00+05:30,1184.0,1188.300048828125,1183.4000244140625,1187.5,43117,0.0,0.0
2025-04-30 11:00:00+05:30,1187.5999755859375,1188.699951171875,1186.5,1187.0,36013,0.0,0.0
2025-04-30 11:05:00+05:30,1186.9000244140625,1187.300048828125,1184.699951171875,1185.0,25826,0.0,0.0
2025-04-30 11:10:00+05:30,1184.5,1185.0999755859375,1183.4000244140625,1183.5,24734,0.0,0.0
2025-04-30 11:15:00+05:30,1183.5999755859375,1186.199951171875,1183.4000244140625,1184.5999755859375,22789,0.0,0.0
2025-04-30 11:20:00+05:30,1184.5,1184.5,1182.199951171875,1183.199951171875,26479,0.0,0.0
2025-04-30 11:25:00+05:30,1183.199951171875,1184.4000244140625,1183.0999755859375,1183.4000244140625,13082,0.0,0.0
2025-04-30 11:30:00+05:30,1183.4000244140625,1183.699951171875,1182.699951171875,1182.800048828125,15955,0.0,0.0
2025-04-30 11:35:00+05:30,1182.699951171875,1183.199951171875,1181.5,1182.800048828125,20854,0.0,0.0
2025-04-30 11:40:00+05:30,1182.800048828125,1183.5999755859375,1182.300048828125,1183.0999755859375,16301,0.0,0.0
2025-04-30 11:45:00+05:30,1183.0999755859375,1183.199951171875,1181.5,1182.699951171875,21133,0.0,0.0
2025-04-30 11:50:00+05:30,1182.699951171875,1183.0,1181.5999755859375,1181.9000244140625,18138,0.0,0.0
2025-04-30 11:55:00+05:30,1182.0,1183.699951171875,1181.5,1183.300048828125,31031,0.0,0.0
2025-04-30 12:00:00+05:30,1183.5999755859375,1185.0,1183.0999755859375,1184.9000244140625,21437,0.0,0.0
2025-04-30 12:05:00+05:30,1184.800048828125,1185.0,1184.0,1184.800048828125,13715,0.0,0.0
2025-04-30 12:10:00+05:30,1184.800048828125,1185.300048828125,1184.5,1184.5999755859375,13651,0.0,0.0
2025-04-30 12:15:00+05:30,1184.5999755859375,1184.5999755859375,1183.5,1184.4000244140625,14381,0.0,0.0
2025-04-30 12:20:00+05:30,1184.699951171875,1185.699951171875,1183.800048828125,1185.300048828125,26554,0.0,0.0
